TranscriptID	Entrez
ENSGALT00000002784	417355
ENSGALT00000044920	.
ENSGALT00000002789	.
ENSGALT00000002882	396168
ENSGALT00000002918	396159
ENSGALT00000034851	.
ENSGALT00000039145	427802
ENSGALT00000003008	417358
ENSGALT00000014303	395088
ENSGALT00000014239	417262
ENSGALT00000040268	427774
ENSGALT00000003024	396066
ENSGALT00000003062	.
ENSGALT00000014129	417260
ENSGALT00000045342	100858471
ENSGALT00000039121	427803
ENSGALT00000002885	417360
ENSGALT00000043730	100858542
ENSGALT00000034371	.
ENSGALT00000014066	417259
ENSGALT00000046003	417259
ENSGALT00000014053	417258
ENSGALT00000005124	374077
ENSGALT00000021823	426049
ENSGALT00000003128	429219
ENSGALT00000014039	417256
ENSGALT00000034822	417361
ENSGALT00000003188	417361
ENSGALT00000013998	771210
ENSGALT00000013980	396254
ENSGALT00000013980	396254
ENSGALT00000013980	417255
ENSGALT00000013980	417255
ENSGALT00000040222	427773
ENSGALT00000021812	426048
ENSGALT00000013905	417254
ENSGALT00000003225	.
ENSGALT00000042764	771551
ENSGALT00000002899	770030
ENSGALT00000003210	417363
ENSGALT00000013873	417253
ENSGALT00000045397	.
ENSGALT00000003290	427805
ENSGALT00000045160	100858268
ENSGALT00000013811	427772
ENSGALT00000020974	408034
ENSGALT00000042845	.
ENSGALT00000013807	417250
ENSGALT00000040177	417250
ENSGALT00000029434	429642
ENSGALT00000003305	100529060
ENSGALT00000003381	417366
ENSGALT00000045698	100858091
ENSGALT00000021807	426047
ENSGALT00000003413	770159
ENSGALT00000040102	374169
ENSGALT00000040094	374169
ENSGALT00000003015	.
ENSGALT00000003433	770172
ENSGALT00000045376	770100
ENSGALT00000003475	417368
ENSGALT00000003497	417369
ENSGALT00000040078	.
ENSGALT00000003571	417371
ENSGALT00000011649	404293
ENSGALT00000010203	429472
ENSGALT00000044756	.
ENSGALT00000044229	395411
ENSGALT00000002839	420095
ENSGALT00000011643	417249
ENSGALT00000002831	396325
ENSGALT00000045049	396325
ENSGALT00000003591	396233
ENSGALT00000003591	396233
ENSGALT00000003591	427887
ENSGALT00000003591	427887
ENSGALT00000042805	396233
ENSGALT00000042805	396233
ENSGALT00000042805	427887
ENSGALT00000042805	427887
ENSGALT00000045872	101749847
ENSGALT00000045872	101749847
ENSGALT00000045872	101750013
ENSGALT00000045872	101750013
ENSGALT00000043181	101748881
ENSGALT00000003602	417372
ENSGALT00000003760	.
ENSGALT00000003634	417373
ENSGALT00000044647	100858798
ENSGALT00000003804	417375
ENSGALT00000003814	373891
ENSGALT00000011638	417248
ENSGALT00000003817	770371
ENSGALT00000038966	417377
ENSGALT00000040053	417247
ENSGALT00000011536	378930
ENSGALT00000041255	420094
ENSGALT00000011523	396440
ENSGALT00000038956	417378
ENSGALT00000004306	395383
ENSGALT00000038914	396061
ENSGALT00000004336	396061
ENSGALT00000011469	417245
ENSGALT00000035097	428340
ENSGALT00000011650	422090
ENSGALT00000002780	.
ENSGALT00000004462	417382
ENSGALT00000004482	395789
ENSGALT00000011395	417242
ENSGALT00000004493	374066
ENSGALT00000004513	395870
ENSGALT00000004537	770573
ENSGALT00000004555	417384
ENSGALT00000004579	417385
ENSGALT00000004614	417386
ENSGALT00000034721	395916
ENSGALT00000004668	417387
ENSGALT00000041247	420093
ENSGALT00000004723	417388
ENSGALT00000004742	417389
ENSGALT00000002724	420092
ENSGALT00000034713	417391
ENSGALT00000011421	.
ENSGALT00000011337	771388
ENSGALT00000043415	770638
ENSGALT00000004800	417393
ENSGALT00000011333	417241
ENSGALT00000011328	395098
ENSGALT00000011318	.
ENSGALT00000011292	.
ENSGALT00000004832	417395
ENSGALT00000004865	417397
ENSGALT00000044444	417398
ENSGALT00000002682	420090
ENSGALT00000045836	420090
ENSGALT00000004896	417399
ENSGALT00000038814	427807
ENSGALT00000002422	420089
ENSGALT00000004910	.
ENSGALT00000041341	417400
ENSGALT00000004950	770911
ENSGALT00000004971	417401
ENSGALT00000002417	420088
ENSGALT00000018918	.
ENSGALT00000004998	417402
ENSGALT00000002401	420087
ENSGALT00000005054	417403
ENSGALT00000039989	100858115
ENSGALT00000041234	425820
ENSGALT00000011272	417231
ENSGALT00000002387	396187
